track 1: IDENTIFIED as 18 (UNKNOWN, conf=0.55)
track 2: IDENTIFIED as 06 (CONFIRMED, conf=0.87)
track 3: IDENTIFIED as 23 (CANDIDATE, conf=0.35)
track 4: IDENTIFIED as 16 (LOCKED, conf=0.91)
track 5: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 6: IDENTIFIED as 14 (CONFIRMED, conf=0.73)
track 7: IDENTIFIED as 14 (UNKNOWN, conf=0.63)
track 8: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 9: IDENTIFIED as 06 (UNKNOWN, conf=0.36)
track 10: IDENTIFIED as 06 (UNKNOWN, conf=0.41)
track 11: IDENTIFIED as 06 (UNKNOWN, conf=0.29)
track 14: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 15: IDENTIFIED as 06 (UNKNOWN, conf=0.51)
track 16: IDENTIFIED as 23 (UNKNOWN, conf=0.39)
track 17: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 23: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 25: IDENTIFIED as 06 (UNKNOWN, conf=0.51)
track 26: IDENTIFIED as 06 (UNKNOWN, conf=0.53)
track 28: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 41: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 50: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 55: IDENTIFIED as 06 (CANDIDATE, conf=0.43)
track 56: IDENTIFIED as 06 (UNKNOWN, conf=0.32)
track 58: IDENTIFIED as 06 (UNKNOWN, conf=0.42)
track 59: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 60: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 61: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 71: IDENTIFIED as 06 (UNKNOWN, conf=0.34)
track 72: NOT RECOGNIZED — best sim 0.14 -> 07 (threshold 0.45)
track 76: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 77: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 84: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 89: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
