track 1: IDENTIFIED as 16 (CANDIDATE, conf=0.40)
track 2: IDENTIFIED as 14 (CANDIDATE, conf=0.34)
track 3: NOT RECOGNIZED — best sim 0.18 -> 10 (threshold 0.45)
track 4: IDENTIFIED as 16 (UNKNOWN, conf=0.59)
track 5: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 6: IDENTIFIED as 06 (CONFIRMED, conf=0.83)
track 7: IDENTIFIED as 21 (UNKNOWN, conf=0.30)
track 8: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 9: IDENTIFIED as 23 (CANDIDATE, conf=0.47)
track 13: IDENTIFIED as 17 (CONFIRMED, conf=0.73)
track 15: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 20: IDENTIFIED as 06 (UNKNOWN, conf=0.43)
track 21: IDENTIFIED as 16 (UNKNOWN, conf=0.24)
track 24: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 27: IDENTIFIED as 23 (CANDIDATE, conf=0.50)
track 28: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 29: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 30: IDENTIFIED as 14 (CANDIDATE, conf=0.61)
track 31: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 32: IDENTIFIED as 14 (UNKNOWN, conf=0.17)
track 34: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 36: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 37: IDENTIFIED as 16 (UNKNOWN, conf=0.53)
track 40: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 41: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 42: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 43: IDENTIFIED as 02 (UNKNOWN, conf=0.36)
track 46: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 47: IDENTIFIED as 16 (UNKNOWN, conf=0.54)
track 48: IDENTIFIED as 17 (CONFIRMED, conf=0.54)
track 49: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 51: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
