track 1: NOT RECOGNIZED — rejected: extreme yaw x1
track 2: IDENTIFIED as 28 (CANDIDATE, conf=0.71)
track 3: IDENTIFIED as 28 (LOCKED, conf=0.95)
track 4: IDENTIFIED as 28 (LOCKED, conf=0.92)
track 5: IDENTIFIED as 30 (CANDIDATE, conf=0.32)
track 6: IDENTIFIED as 02 (CANDIDATE, conf=0.39)
track 7: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 8: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 9: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 10: IDENTIFIED as 30 (UNKNOWN, conf=0.61)
track 11: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 12: IDENTIFIED as 23 (CANDIDATE, conf=0.46)
track 13: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 14: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 17: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 18: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 19: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 20: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 21: IDENTIFIED as 30 (CANDIDATE, conf=0.47)
track 23: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 25: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 26: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 27: IDENTIFIED as 30 (UNKNOWN, conf=0.66)
track 28: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 29: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 30: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 31: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 32: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 33: IDENTIFIED as 10 (LOCKED, conf=0.91)
track 35: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 36: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 37: IDENTIFIED as 14 (CANDIDATE, conf=0.53)
track 39: IDENTIFIED as 14 (UNKNOWN, conf=0.67)
track 42: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 43: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 44: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 45: IDENTIFIED as 30 (UNKNOWN, conf=0.39)
track 46: IDENTIFIED as 30 (UNKNOWN, conf=0.36)
track 47: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 48: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 49: IDENTIFIED as 30 (UNKNOWN, conf=0.65)
track 50: IDENTIFIED as 14 (UNKNOWN, conf=0.63)
track 51: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 52: IDENTIFIED as 02 (LOCKED, conf=0.97)
track 53: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 54: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 55: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 57: IDENTIFIED as 28 (CANDIDATE, conf=0.44)
track 58: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 60: IDENTIFIED as 14 (CANDIDATE, conf=0.44)
track 61: IDENTIFIED as 02 (CANDIDATE, conf=0.55)
track 62: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 64: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 65: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 66: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 67: IDENTIFIED as 14 (CANDIDATE, conf=0.51)
track 68: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 69: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 70: IDENTIFIED as 30 (UNKNOWN, conf=0.65)
track 71: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 72: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 74: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 75: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 76: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 77: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 78: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 80: IDENTIFIED as 28 (CANDIDATE, conf=0.81)
track 81: NOT RECOGNIZED — face never detected (3 looks)
track 82: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 88: IDENTIFIED as 30 (UNKNOWN, conf=0.60)
track 89: IDENTIFIED as 30 (UNKNOWN, conf=0.26)
track 90: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 92: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 95: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 96: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 98: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 99: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 100: IDENTIFIED as 30 (UNKNOWN, conf=0.65)
track 102: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 104: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 105: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 106: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 107: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 108: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 109: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 112: IDENTIFIED as 28 (CANDIDATE, conf=0.62)
track 113: IDENTIFIED as 30 (UNKNOWN, conf=0.62)
track 114: IDENTIFIED as 30 (UNKNOWN, conf=0.63)
track 117: IDENTIFIED as 28 (CANDIDATE, conf=0.56)
track 120: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 121: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 123: NOT RECOGNIZED — face never detected (6 looks)
track 126: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 128: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 129: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 130: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 132: IDENTIFIED as 28 (CANDIDATE, conf=0.63)
track 133: IDENTIFIED as 28 (CANDIDATE, conf=0.86)
track 134: IDENTIFIED as 23 (UNKNOWN, conf=0.65)
track 135: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 136: NOT RECOGNIZED — face never detected (7 looks)
track 137: IDENTIFIED as 19 (CANDIDATE, conf=0.38)
track 138: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 139: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 142: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 144: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 146: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 147: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 148: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 149: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 150: IDENTIFIED as 30 (UNKNOWN, conf=0.30)
track 152: IDENTIFIED as 19 (CONFIRMED, conf=0.76)
track 153: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 154: IDENTIFIED as 28 (CANDIDATE, conf=0.80)
track 156: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 157: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 158: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 159: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 162: IDENTIFIED as 30 (CANDIDATE, conf=0.28)
track 163: IDENTIFIED as 28 (CANDIDATE, conf=0.65)
track 164: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 165: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 166: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 168: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 169: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 170: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 172: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 173: NOT RECOGNIZED — face never detected (27 looks)
track 174: IDENTIFIED as 28 (CANDIDATE, conf=0.39)
track 176: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 178: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 179: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 180: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 183: IDENTIFIED as 19 (CANDIDATE, conf=0.65)
track 184: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 185: IDENTIFIED as 28 (CANDIDATE, conf=0.73)
track 186: NOT RECOGNIZED — face never detected (10 looks)
track 187: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 188: NOT RECOGNIZED — face never detected (5 looks)
track 189: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 190: IDENTIFIED as 30 (UNKNOWN, conf=0.63)
track 191: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 192: NOT RECOGNIZED — face never detected (1 looks)
track 194: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 195: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 196: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 198: IDENTIFIED as 23 (UNKNOWN, conf=0.44)
track 199: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 201: IDENTIFIED as 30 (CONFIRMED, conf=0.83)
track 202: IDENTIFIED as 28 (CANDIDATE, conf=0.64)
track 203: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 205: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 206: IDENTIFIED as 30 (UNKNOWN, conf=0.39)
track 209: NOT RECOGNIZED — face never detected (2 looks)
track 210: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 211: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 213: IDENTIFIED as 30 (CANDIDATE, conf=0.63)
track 214: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 215: IDENTIFIED as 30 (CANDIDATE, conf=0.52)
track 216: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 218: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 219: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
