track 1: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.62)
track 2: IDENTIFIED as 28 (LOCKED, conf=0.90)
track 3: IDENTIFIED as 28 (LOCKED, conf=0.91)
track 5: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.66)
track 6: IDENTIFIED as 28 (CANDIDATE, conf=0.40)
track 7: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 8: IDENTIFIED as 16 (UNKNOWN, conf=0.58)
track 9: IDENTIFIED as 02 (CANDIDATE, conf=0.52)
track 10: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 11: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 12: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 13: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 14: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 15: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 16: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 17: IDENTIFIED as 30 (UNKNOWN, conf=0.23)
track 18: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 21: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 22: IDENTIFIED as 16 (UNKNOWN, conf=0.40)
track 23: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 24: NOT RECOGNIZED — best sim 0.33 -> 24 (threshold 0.45)
track 25: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 26: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 28: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 30: IDENTIFIED as 28 (LOCKED, conf=0.85)
track 32: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 34: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 35: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 36: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 37: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 39: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 40: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 41: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 42: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 44: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 47: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 48: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 52: IDENTIFIED as 30 (UNKNOWN, conf=0.20)
track 53: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 54: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 55: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 56: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 57: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 58: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 59: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 60: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 61: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 63: IDENTIFIED as 28 (CANDIDATE, conf=0.51)
track 64: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 65: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 66: IDENTIFIED as 28 (CANDIDATE, conf=0.64)
track 68: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 69: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 70: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 71: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 72: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 73: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 74: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 75: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 76: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 79: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 80: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 81: IDENTIFIED as 16 (UNKNOWN, conf=0.29)
track 83: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 84: IDENTIFIED as 28 (CANDIDATE, conf=0.67)
track 85: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 86: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 87: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 88: IDENTIFIED as 30 (UNKNOWN, conf=0.23)
track 89: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 91: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 92: IDENTIFIED as 23 (UNKNOWN, conf=0.36)
track 93: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 94: IDENTIFIED as 28 (CANDIDATE, conf=0.55)
track 95: IDENTIFIED as 16 (UNKNOWN, conf=0.40)
track 96: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 97: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 98: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 100: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 101: IDENTIFIED as 23 (UNKNOWN, conf=0.34)
track 102: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 103: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 104: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 105: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 106: IDENTIFIED as 30 (UNKNOWN, conf=0.24)
track 108: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 109: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 110: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 111: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 112: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 113: IDENTIFIED as 30 (CANDIDATE, conf=0.42)
track 114: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 115: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 117: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 118: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 119: IDENTIFIED as 02 (UNKNOWN, conf=0.23)
track 120: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 121: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 122: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 123: IDENTIFIED as 29 (CANDIDATE, conf=0.39)
track 124: IDENTIFIED as 30 (UNKNOWN, conf=0.30)
track 126: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 127: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 128: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 129: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 130: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 131: IDENTIFIED as 30 (UNKNOWN, conf=0.32)
track 132: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 133: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 134: IDENTIFIED as 30 (UNKNOWN, conf=0.36)
track 137: IDENTIFIED as 18 (CANDIDATE, conf=0.42)
