track 1: IDENTIFIED as 28 (CONFIRMED, conf=0.75)
track 2: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 3: IDENTIFIED as 04 (UNKNOWN, conf=0.32)
track 4: IDENTIFIED as 14 (CANDIDATE, conf=0.61)
track 5: IDENTIFIED as 28 (CANDIDATE, conf=0.55)
track 6: IDENTIFIED as 28 (CANDIDATE, conf=0.63)
track 12: IDENTIFIED as 04 (UNKNOWN, conf=0.68)
track 13: IDENTIFIED as 04 (UNKNOWN, conf=0.70)
track 14: NOT RECOGNIZED — face never detected (11 looks)
track 15: IDENTIFIED as 01 (CANDIDATE, conf=0.42)
track 16: IDENTIFIED as 28 (CANDIDATE, conf=0.74)
track 17: IDENTIFIED as 01 (UNKNOWN, conf=0.46)
track 19: IDENTIFIED as 28 (CANDIDATE, conf=0.53)
track 21: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.80)
track 22: IDENTIFIED as 28 (UNKNOWN, conf=0.45)
track 23: IDENTIFIED as 28 (CANDIDATE, conf=0.52)
track 25: IDENTIFIED as 28 (CONFIRMED, conf=0.76)
track 26: IDENTIFIED as 28 (CANDIDATE, conf=0.55)
track 27: IDENTIFIED as 04 (UNKNOWN, conf=0.65)
track 28: IDENTIFIED as 04 (UNKNOWN, conf=0.38)
track 29: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 30: IDENTIFIED as 28 (CANDIDATE, conf=0.66)
track 31: IDENTIFIED as 04 (UNKNOWN, conf=0.57)
track 32: IDENTIFIED as 28 (UNKNOWN, conf=0.45)
track 33: IDENTIFIED as 04 (UNKNOWN, conf=0.23)
track 38: IDENTIFIED as 28 (UNKNOWN, conf=0.59)
track 39: IDENTIFIED as 28 (UNKNOWN, conf=0.61)
track 40: IDENTIFIED as 28 (CANDIDATE, conf=0.46)
track 41: IDENTIFIED as 28 (CANDIDATE, conf=0.37)
track 42: IDENTIFIED as 01 (UNKNOWN, conf=0.55)
track 45: IDENTIFIED as 10 (CANDIDATE, conf=0.53)
track 46: IDENTIFIED as 04 (CANDIDATE, conf=0.62)
track 47: IDENTIFIED as 28 (CANDIDATE, conf=0.59)
track 48: IDENTIFIED as 28 (UNKNOWN, conf=0.45)
track 49: IDENTIFIED as 04 (CANDIDATE, conf=0.49)
track 50: IDENTIFIED as 28 (CANDIDATE, conf=0.48)
track 52: IDENTIFIED as 04 (UNKNOWN, conf=0.64)
track 53: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 55: IDENTIFIED as 01 (UNKNOWN, conf=0.49)
track 56: IDENTIFIED as 28 (CONFIRMED, conf=0.74)
track 59: IDENTIFIED as 14 (LOCKED, conf=0.86)
track 60: IDENTIFIED as 04 (UNKNOWN, conf=0.62)
track 62: IDENTIFIED as 28 (CANDIDATE, conf=0.77)
track 63: IDENTIFIED as 28 (UNKNOWN, conf=0.63)
track 65: IDENTIFIED as 28 (UNKNOWN, conf=0.45)
track 67: IDENTIFIED as 28 (CONFIRMED, conf=0.71)
track 68: IDENTIFIED as 28 (UNKNOWN, conf=0.72)
track 69: IDENTIFIED as 04 (UNKNOWN, conf=0.36)
track 70: IDENTIFIED as 28 (UNKNOWN, conf=0.59)
track 71: IDENTIFIED as 01 (UNKNOWN, conf=0.45)
track 73: IDENTIFIED as 28 (CANDIDATE, conf=0.49)
track 74: NOT RECOGNIZED — face never detected (50 looks)
track 76: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 79: IDENTIFIED as 04 (UNKNOWN, conf=0.36)
track 81: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 86: IDENTIFIED as 28 (LOCKED, conf=0.96)
track 87: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 88: IDENTIFIED as 28 (UNKNOWN, conf=0.45)
track 89: IDENTIFIED as 28 (CANDIDATE, conf=0.77)
track 90: IDENTIFIED as 14 (LOCKED, conf=1.00)
track 91: IDENTIFIED as 28 (CONFIRMED, conf=0.86)
track 92: IDENTIFIED as 04 (CANDIDATE, conf=0.45)
track 93: IDENTIFIED as 28 (UNKNOWN, conf=0.45)
track 94: IDENTIFIED as 14 (CANDIDATE, conf=0.69)
track 95: IDENTIFIED as 28 (UNKNOWN, conf=0.45)
track 99: IDENTIFIED as 28 (CANDIDATE, conf=0.69)
track 100: IDENTIFIED as 01 (UNKNOWN, conf=0.45)
track 102: IDENTIFIED as 01 (CANDIDATE, conf=0.55)
track 103: IDENTIFIED as 01 (UNKNOWN, conf=0.35)
track 104: IDENTIFIED as 28 (UNKNOWN, conf=0.45)
track 106: IDENTIFIED as 04 (CANDIDATE, conf=0.47)
track 110: IDENTIFIED as 28 (CANDIDATE, conf=0.69)
track 111: IDENTIFIED as 01 (UNKNOWN, conf=0.52)
track 112: IDENTIFIED as 04 (CANDIDATE, conf=0.54)
track 113: IDENTIFIED as 28 (CANDIDATE, conf=0.62)
track 114: IDENTIFIED as 04 (UNKNOWN, conf=0.60)
track 115: IDENTIFIED as 01 (CANDIDATE, conf=0.42)
track 116: IDENTIFIED as 28 (CANDIDATE, conf=0.68)
track 117: IDENTIFIED as 01 (UNKNOWN, conf=0.60)
track 118: IDENTIFIED as 28 (UNKNOWN, conf=0.55)
track 120: IDENTIFIED as 01 (UNKNOWN, conf=0.53)
track 122: IDENTIFIED as 28 (CONFIRMED, conf=0.85)
track 123: IDENTIFIED as 01 (UNKNOWN, conf=0.49)
track 124: IDENTIFIED as 28 (CANDIDATE, conf=0.68)
track 125: IDENTIFIED as 01 (UNKNOWN, conf=0.51)
track 126: IDENTIFIED as 01 (CANDIDATE, conf=0.45)
track 127: IDENTIFIED as 28 (CANDIDATE, conf=0.54)
track 128: IDENTIFIED as 28 (LOCKED, conf=0.90)
track 130: IDENTIFIED as 28 (CANDIDATE, conf=0.55)
track 131: IDENTIFIED as 04 (UNKNOWN, conf=0.42)
track 132: IDENTIFIED as 16 (CANDIDATE, conf=0.74)
track 133: IDENTIFIED as 01 (UNKNOWN, conf=0.56)
track 134: NOT RECOGNIZED — best sim 0.27 -> 03 (threshold 0.45)
track 135: IDENTIFIED as 01 (UNKNOWN, conf=0.36)
track 137: IDENTIFIED as 25 (CANDIDATE, conf=0.41)
track 138: NOT RECOGNIZED — best sim 0.36 -> 28 (threshold 0.45)
track 140: IDENTIFIED as 01 (UNKNOWN, conf=0.36)
track 141: IDENTIFIED as 01 (UNKNOWN, conf=0.42)
track 142: IDENTIFIED as 01 (UNKNOWN, conf=0.54)
track 144: IDENTIFIED as 03 (CONFIRMED, conf=0.79)
track 145: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 147: IDENTIFIED as 04 (UNKNOWN, conf=0.64)
track 148: IDENTIFIED as 28 (CANDIDATE, conf=0.61)
track 149: IDENTIFIED as 28 (CANDIDATE, conf=0.57)
track 152: IDENTIFIED as 01 (CANDIDATE, conf=0.50)
track 153: IDENTIFIED as 28 (UNKNOWN, conf=0.64)
track 154: IDENTIFIED as 01 (UNKNOWN, conf=0.50)
track 155: IDENTIFIED as 04 (LOCKED, conf=0.95)
track 159: IDENTIFIED as 28 (CONFIRMED, conf=0.78)
track 160: IDENTIFIED as 28 (CANDIDATE, conf=0.61)
track 162: IDENTIFIED as 29 (CANDIDATE, conf=0.45)
track 163: IDENTIFIED as 04 (UNKNOWN, conf=0.27)
track 164: IDENTIFIED as 04 (UNKNOWN, conf=0.61)
track 166: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 168: IDENTIFIED as 28 (CANDIDATE, conf=0.63)
track 169: IDENTIFIED as 04 (UNKNOWN, conf=0.61)
track 170: IDENTIFIED as 29 (CANDIDATE, conf=0.42)
track 172: IDENTIFIED as 04 (UNKNOWN, conf=0.57)
track 173: NOT RECOGNIZED — face never detected (30 looks)
track 174: IDENTIFIED as 04 (UNKNOWN, conf=0.64)
track 175: NOT RECOGNIZED — face never detected (40 looks)
track 177: IDENTIFIED as 28 (CANDIDATE, conf=0.72)
track 179: IDENTIFIED as 01 (LOCKED, conf=0.87)
track 180: IDENTIFIED as 04 (UNKNOWN, conf=0.59)
track 181: IDENTIFIED as 04 (UNKNOWN, conf=0.63)
track 182: IDENTIFIED as 14 (LOCKED, conf=0.96)
track 183: IDENTIFIED as 04 (UNKNOWN, conf=0.40)
track 184: NOT RECOGNIZED — face never detected (20 looks)
track 185: IDENTIFIED as 28 (CONFIRMED, conf=0.84)
track 187: IDENTIFIED as 01 (CANDIDATE, conf=0.43)
track 188: IDENTIFIED as 01 (REVIEW_REQUIRED, conf=0.68)
track 191: IDENTIFIED as 01 (CANDIDATE, conf=0.70)
track 192: IDENTIFIED as 04 (CANDIDATE, conf=0.49)
track 194: IDENTIFIED as 28 (CONFIRMED, conf=0.78)
track 195: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 197: IDENTIFIED as 28 (UNKNOWN, conf=0.45)
track 198: IDENTIFIED as 28 (CANDIDATE, conf=0.69)
track 199: IDENTIFIED as 28 (CANDIDATE, conf=0.77)
track 200: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.69)
track 201: IDENTIFIED as 30 (CANDIDATE, conf=0.49)
track 202: IDENTIFIED as 28 (CANDIDATE, conf=0.48)
track 204: IDENTIFIED as 29 (CONFIRMED, conf=0.61)
track 205: IDENTIFIED as 28 (CANDIDATE, conf=0.59)
track 207: IDENTIFIED as 04 (UNKNOWN, conf=0.67)
track 209: IDENTIFIED as 28 (CANDIDATE, conf=0.69)
track 212: IDENTIFIED as 28 (UNKNOWN, conf=0.57)
track 213: IDENTIFIED as 05 (CONFIRMED, conf=0.87)
track 215: IDENTIFIED as 04 (UNKNOWN, conf=0.57)
track 216: NOT RECOGNIZED — best sim 0.26 -> 08 (threshold 0.45)
track 217: IDENTIFIED as 04 (UNKNOWN, conf=0.57)
track 218: IDENTIFIED as 04 (UNKNOWN, conf=0.59)
track 220: IDENTIFIED as 04 (UNKNOWN, conf=0.44)
track 221: IDENTIFIED as 04 (UNKNOWN, conf=0.60)
track 224: IDENTIFIED as 04 (UNKNOWN, conf=0.59)
track 227: IDENTIFIED as 04 (UNKNOWN, conf=0.60)
track 229: IDENTIFIED as 28 (LOCKED, conf=0.90)
track 230: IDENTIFIED as 28 (CANDIDATE, conf=0.70)
track 231: IDENTIFIED as 23 (CANDIDATE, conf=0.70)
track 233: IDENTIFIED as 23 (CONFIRMED, conf=0.81)
track 234: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 235: IDENTIFIED as 04 (UNKNOWN, conf=0.41)
track 239: IDENTIFIED as 14 (CANDIDATE, conf=0.53)
track 241: IDENTIFIED as 08 (CANDIDATE, conf=0.45)
track 243: IDENTIFIED as 28 (CANDIDATE, conf=0.72)
track 245: NOT RECOGNIZED — face never detected (15 looks)
track 247: NOT RECOGNIZED — face never detected (3 looks)
track 248: IDENTIFIED as 08 (REVIEW_REQUIRED, conf=0.72)
track 249: NOT RECOGNIZED — best sim 0.30 -> 03 (threshold 0.45)
track 250: NOT RECOGNIZED — face never detected (10 looks)
track 251: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 252: NOT RECOGNIZED — face never detected (2 looks)
track 254: NOT RECOGNIZED — face never detected (13 looks)
track 255: IDENTIFIED as 04 (UNKNOWN, conf=0.58)
track 256: NOT RECOGNIZED — best sim 0.23 -> 34 (threshold 0.45)
track 257: IDENTIFIED as 28 (UNKNOWN, conf=0.57)
track 258: IDENTIFIED as 02 (CANDIDATE, conf=0.45)
track 259: IDENTIFIED as 04 (UNKNOWN, conf=0.23)
track 261: IDENTIFIED as 08 (REVIEW_REQUIRED, conf=0.65)
track 262: NOT RECOGNIZED — best sim 0.38 -> 02 (threshold 0.45)
track 263: IDENTIFIED as 04 (UNKNOWN, conf=0.62)
track 264: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 265: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
