track 1: IDENTIFIED as 28 (LOCKED, conf=0.83)
track 2: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.76)
track 3: IDENTIFIED as 23 (CANDIDATE, conf=0.62)
track 4: IDENTIFIED as 23 (UNKNOWN, conf=0.37)
track 5: IDENTIFIED as 28 (CANDIDATE, conf=0.40)
track 6: IDENTIFIED as 28 (CONFIRMED, conf=0.77)
track 7: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 8: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 9: IDENTIFIED as 28 (CANDIDATE, conf=0.71)
track 10: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 11: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 12: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 13: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 14: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 15: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 16: IDENTIFIED as 30 (UNKNOWN, conf=0.34)
track 17: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 18: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 20: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 22: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 23: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 24: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 26: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 28: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 29: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 30: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 31: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 32: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 33: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 34: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 35: IDENTIFIED as 28 (LOCKED, conf=0.90)
track 37: IDENTIFIED as 14 (UNKNOWN, conf=0.60)
track 38: IDENTIFIED as 28 (CANDIDATE, conf=0.70)
track 39: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 41: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 43: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 44: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 45: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 46: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 47: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 48: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 49: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 50: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 52: IDENTIFIED as 28 (CANDIDATE, conf=0.69)
track 53: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 54: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 55: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 56: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 57: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 58: IDENTIFIED as 30 (UNKNOWN, conf=0.50)
track 59: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 60: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 61: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 62: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 63: IDENTIFIED as 30 (CANDIDATE, conf=0.43)
track 66: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 68: IDENTIFIED as 10 (LOCKED, conf=0.92)
track 69: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 71: IDENTIFIED as 30 (UNKNOWN, conf=0.58)
track 72: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 73: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 75: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 76: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 78: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 80: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 81: IDENTIFIED as 30 (UNKNOWN, conf=0.60)
track 82: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 83: IDENTIFIED as 30 (UNKNOWN, conf=0.33)
track 84: IDENTIFIED as 30 (UNKNOWN, conf=0.41)
track 85: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 86: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 87: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 88: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 89: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 90: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 91: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 92: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 93: IDENTIFIED as 02 (UNKNOWN, conf=0.50)
track 94: IDENTIFIED as 28 (CANDIDATE, conf=0.42)
track 96: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 97: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 98: IDENTIFIED as 28 (CANDIDATE, conf=0.60)
track 99: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 101: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 102: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 108: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 109: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 110: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 111: IDENTIFIED as 30 (CANDIDATE, conf=0.43)
track 112: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 113: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 115: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 117: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 118: IDENTIFIED as 30 (CANDIDATE, conf=0.45)
track 119: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 120: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 122: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 123: IDENTIFIED as 28 (CANDIDATE, conf=0.52)
track 124: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 125: IDENTIFIED as 30 (UNKNOWN, conf=0.63)
track 126: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 128: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 129: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 130: IDENTIFIED as 30 (UNKNOWN, conf=0.30)
track 131: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 132: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 133: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 134: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 136: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 137: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 138: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 139: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 140: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 141: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 142: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 143: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 144: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 145: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 146: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 147: IDENTIFIED as 30 (UNKNOWN, conf=0.31)
track 148: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 149: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 152: IDENTIFIED as 28 (CANDIDATE, conf=0.60)
track 153: IDENTIFIED as 02 (UNKNOWN, conf=0.32)
track 156: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 157: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 158: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 160: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 162: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 164: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 167: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 168: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 169: IDENTIFIED as 30 (CANDIDATE, conf=0.54)
track 170: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 171: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 173: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 174: IDENTIFIED as 30 (CANDIDATE, conf=0.52)
track 176: IDENTIFIED as 30 (CANDIDATE, conf=0.51)
track 177: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 178: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 179: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 180: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 181: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 183: IDENTIFIED as 30 (CANDIDATE, conf=0.54)
track 184: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 185: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 186: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 187: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 188: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 189: IDENTIFIED as 30 (CANDIDATE, conf=0.59)
track 190: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 192: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 193: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 194: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 195: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 196: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 197: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 198: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 199: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 201: IDENTIFIED as 02 (UNKNOWN, conf=0.40)
track 202: IDENTIFIED as 30 (CANDIDATE, conf=0.59)
track 204: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 205: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 207: IDENTIFIED as 28 (LOCKED, conf=0.91)
track 208: IDENTIFIED as 30 (CANDIDATE, conf=0.51)
track 209: NOT RECOGNIZED — face never detected (2 looks)
track 211: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 212: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 213: NOT RECOGNIZED — face never detected (7 looks)
track 214: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 216: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 217: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 218: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 219: IDENTIFIED as 30 (CANDIDATE, conf=0.52)
track 220: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 221: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 222: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 223: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 224: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 225: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 226: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 227: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 228: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 229: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 231: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 232: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 233: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 234: NOT RECOGNIZED — rejected: extreme yaw x5
track 235: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 238: IDENTIFIED as 28 (CANDIDATE, conf=0.50)
track 239: IDENTIFIED as 16 (UNKNOWN, conf=0.23)
track 240: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 241: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 242: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 244: IDENTIFIED as 23 (UNKNOWN, conf=0.47)
track 245: IDENTIFIED as 30 (UNKNOWN, conf=0.67)
track 246: IDENTIFIED as 30 (UNKNOWN, conf=0.46)
