track 1: IDENTIFIED as 28 (CANDIDATE, conf=0.54)
track 2: IDENTIFIED as 15 (CANDIDATE, conf=0.64)
track 3: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 4: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 5: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 6: IDENTIFIED as 04 (UNKNOWN, conf=0.31)
track 7: NOT RECOGNIZED — face never detected (10 looks)
track 8: IDENTIFIED as 19 (CANDIDATE, conf=0.41)
track 9: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 10: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 12: IDENTIFIED as 19 (UNKNOWN, conf=0.34)
track 13: IDENTIFIED as 04 (UNKNOWN, conf=0.44)
track 15: IDENTIFIED as 15 (LOCKED, conf=0.84)
track 17: IDENTIFIED as 19 (UNKNOWN, conf=0.24)
track 18: NOT RECOGNIZED — face never detected (10 looks)
track 19: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 20: NOT RECOGNIZED — face never detected (10 looks)
track 21: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 23: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 24: IDENTIFIED as 15 (LOCKED, conf=0.93)
track 25: IDENTIFIED as 19 (UNKNOWN, conf=0.66)
track 27: IDENTIFIED as 19 (UNKNOWN, conf=0.56)
track 28: IDENTIFIED as 19 (UNKNOWN, conf=0.55)
track 30: NOT RECOGNIZED — face never detected (5 looks)
track 31: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 32: IDENTIFIED as 19 (UNKNOWN, conf=0.23)
track 33: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 34: IDENTIFIED as 19 (UNKNOWN, conf=0.58)
track 37: IDENTIFIED as 19 (UNKNOWN, conf=0.28)
track 38: IDENTIFIED as 19 (UNKNOWN, conf=0.59)
track 40: IDENTIFIED as 28 (CONFIRMED, conf=0.73)
track 41: IDENTIFIED as 04 (UNKNOWN, conf=0.34)
track 43: IDENTIFIED as 19 (UNKNOWN, conf=0.40)
track 44: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 45: IDENTIFIED as 04 (UNKNOWN, conf=0.25)
track 47: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 49: IDENTIFIED as 19 (UNKNOWN, conf=0.56)
track 50: NOT RECOGNIZED — face never detected (11 looks)
track 51: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 52: IDENTIFIED as 19 (UNKNOWN, conf=0.36)
track 53: IDENTIFIED as 19 (UNKNOWN, conf=0.30)
track 57: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 61: IDENTIFIED as 04 (UNKNOWN, conf=0.23)
track 63: NOT RECOGNIZED — face never detected (5 looks)
track 64: IDENTIFIED as 28 (CANDIDATE, conf=0.56)
track 65: IDENTIFIED as 19 (UNKNOWN, conf=0.23)
track 67: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 68: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 69: IDENTIFIED as 19 (CANDIDATE, conf=0.54)
track 72: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 73: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 74: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 75: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 77: IDENTIFIED as 28 (CANDIDATE, conf=0.66)
track 79: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 81: IDENTIFIED as 19 (UNKNOWN, conf=0.44)
track 82: NOT RECOGNIZED — face never detected (12 looks)
track 83: IDENTIFIED as 19 (UNKNOWN, conf=0.28)
track 87: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 89: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 90: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 91: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 92: IDENTIFIED as 19 (UNKNOWN, conf=0.59)
track 96: IDENTIFIED as 19 (CANDIDATE, conf=0.45)
track 97: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 98: IDENTIFIED as 19 (CANDIDATE, conf=0.60)
track 99: IDENTIFIED as 28 (CANDIDATE, conf=0.47)
track 100: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 101: IDENTIFIED as 19 (UNKNOWN, conf=0.27)
track 102: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 105: IDENTIFIED as 19 (UNKNOWN, conf=0.67)
track 106: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 109: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 110: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 111: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 114: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 115: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 116: IDENTIFIED as 19 (CANDIDATE, conf=0.65)
track 117: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 118: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 119: IDENTIFIED as 14 (UNKNOWN, conf=0.54)
track 121: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 122: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 125: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 126: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 127: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 128: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 129: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.65)
track 131: IDENTIFIED as 19 (UNKNOWN, conf=0.26)
track 132: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 134: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 135: IDENTIFIED as 19 (UNKNOWN, conf=0.40)
track 140: IDENTIFIED as 19 (UNKNOWN, conf=0.30)
track 145: NOT RECOGNIZED — face never detected (7 looks)
track 149: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 150: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 154: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 157: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 158: NOT RECOGNIZED — face never detected (4 looks)
track 159: NOT RECOGNIZED — face never detected (1 looks)
track 160: IDENTIFIED as 15 (REVIEW_REQUIRED, conf=0.72)
track 161: IDENTIFIED as 30 (REVIEW_REQUIRED, conf=0.85)
track 165: IDENTIFIED as 19 (CANDIDATE, conf=0.46)
track 167: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 169: IDENTIFIED as 19 (UNKNOWN, conf=0.27)
track 170: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 171: NOT RECOGNIZED — face never detected (1 looks)
track 173: NOT RECOGNIZED — face never detected (3 looks)
track 176: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 179: NOT RECOGNIZED — best sim 0.42 -> 28 (threshold 0.45)
track 182: IDENTIFIED as 04 (UNKNOWN, conf=0.28)
track 183: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 185: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 195: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 196: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 197: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 198: IDENTIFIED as 19 (UNKNOWN, conf=0.36)
track 202: IDENTIFIED as 28 (CANDIDATE, conf=0.66)
track 203: IDENTIFIED as 04 (UNKNOWN, conf=0.38)
track 204: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 205: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 206: IDENTIFIED as 19 (UNKNOWN, conf=0.23)
track 207: IDENTIFIED as 04 (UNKNOWN, conf=0.33)
track 214: IDENTIFIED as 19 (UNKNOWN, conf=0.36)
track 216: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 220: IDENTIFIED as 19 (UNKNOWN, conf=0.53)
track 221: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.63)
track 222: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 223: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 226: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 228: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 229: IDENTIFIED as 19 (UNKNOWN, conf=0.56)
track 232: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 235: IDENTIFIED as 04 (UNKNOWN, conf=0.30)
track 236: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 238: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 239: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 240: IDENTIFIED as 04 (UNKNOWN, conf=0.23)
track 241: IDENTIFIED as 19 (UNKNOWN, conf=0.36)
track 244: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 245: IDENTIFIED as 04 (UNKNOWN, conf=0.35)
track 246: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 248: IDENTIFIED as 04 (UNKNOWN, conf=0.26)
track 250: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 251: IDENTIFIED as 04 (UNKNOWN, conf=0.40)
track 253: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 256: IDENTIFIED as 19 (CANDIDATE, conf=0.49)
track 257: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 259: IDENTIFIED as 04 (UNKNOWN, conf=0.23)
track 260: IDENTIFIED as 19 (CANDIDATE, conf=0.51)
track 262: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 263: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 265: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 267: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 271: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 272: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 273: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 276: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 277: IDENTIFIED as 19 (CANDIDATE, conf=0.53)
track 278: IDENTIFIED as 19 (CANDIDATE, conf=0.56)
track 279: IDENTIFIED as 19 (CANDIDATE, conf=0.51)
track 280: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 281: IDENTIFIED as 29 (CANDIDATE, conf=0.60)
track 282: IDENTIFIED as 19 (UNKNOWN, conf=0.40)
track 283: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 284: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 287: IDENTIFIED as 04 (UNKNOWN, conf=0.36)
track 288: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 290: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.74)
