track 1: IDENTIFIED as 15 (REVIEW_REQUIRED, conf=0.73)
track 2: IDENTIFIED as 30 (REVIEW_REQUIRED, conf=0.80)
track 3: IDENTIFIED as 28 (CONFIRMED, conf=0.86)
track 4: IDENTIFIED as 29 (CANDIDATE, conf=0.56)
track 5: IDENTIFIED as 29 (CANDIDATE, conf=0.54)
track 6: IDENTIFIED as 14 (CONFIRMED, conf=0.80)
track 8: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 11: IDENTIFIED as 28 (CANDIDATE, conf=0.62)
track 12: IDENTIFIED as 05 (UNKNOWN, conf=0.50)
track 14: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 20: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 27: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 29: IDENTIFIED as 05 (UNKNOWN, conf=0.36)
track 35: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 36: IDENTIFIED as 11 (UNKNOWN, conf=0.58)
track 38: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 39: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 40: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 43: IDENTIFIED as 05 (UNKNOWN, conf=0.58)
track 47: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 54: IDENTIFIED as 29 (CANDIDATE, conf=0.57)
track 55: IDENTIFIED as 04 (UNKNOWN, conf=0.60)
track 56: NOT RECOGNIZED — best sim 0.28 -> 01 (threshold 0.45)
track 57: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 60: IDENTIFIED as 11 (UNKNOWN, conf=0.60)
track 61: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 62: IDENTIFIED as 11 (CANDIDATE, conf=0.45)
track 64: NOT RECOGNIZED — best sim 0.30 -> 26 (threshold 0.45)
track 65: IDENTIFIED as 30 (CANDIDATE, conf=0.69)
