track 2: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 3: IDENTIFIED as 29 (CANDIDATE, conf=0.46)
track 4: IDENTIFIED as 03 (UNKNOWN, conf=0.58)
track 5: IDENTIFIED as 03 (UNKNOWN, conf=0.57)
track 7: IDENTIFIED as 11 (UNKNOWN, conf=0.53)
track 8: IDENTIFIED as 08 (REVIEW_REQUIRED, conf=0.76)
track 9: IDENTIFIED as 23 (LOCKED, conf=0.96)
track 10: IDENTIFIED as 11 (UNKNOWN, conf=0.34)
track 11: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 12: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 14: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 15: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 16: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 17: IDENTIFIED as 11 (UNKNOWN, conf=0.55)
track 20: IDENTIFIED as 11 (CANDIDATE, conf=0.41)
track 22: IDENTIFIED as 25 (UNKNOWN, conf=0.36)
track 25: IDENTIFIED as 11 (UNKNOWN, conf=0.55)
track 26: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 31: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 34: IDENTIFIED as 11 (UNKNOWN, conf=0.64)
track 35: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 36: IDENTIFIED as 04 (CANDIDATE, conf=0.83)
track 42: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 43: IDENTIFIED as 29 (CANDIDATE, conf=0.57)
track 48: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 49: IDENTIFIED as 04 (CANDIDATE, conf=0.67)
track 50: IDENTIFIED as 11 (UNKNOWN, conf=0.57)
track 53: IDENTIFIED as 03 (UNKNOWN, conf=0.58)
track 54: IDENTIFIED as 29 (CANDIDATE, conf=0.54)
track 56: IDENTIFIED as 28 (CANDIDATE, conf=0.58)
track 58: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 59: IDENTIFIED as 15 (UNKNOWN, conf=0.45)
track 60: IDENTIFIED as 03 (UNKNOWN, conf=0.58)
track 64: IDENTIFIED as 03 (UNKNOWN, conf=0.43)
track 66: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 67: IDENTIFIED as 11 (UNKNOWN, conf=0.52)
track 69: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.73)
track 72: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 74: IDENTIFIED as 11 (UNKNOWN, conf=0.34)
track 75: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 77: IDENTIFIED as 04 (REVIEW_REQUIRED, conf=0.73)
track 79: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 81: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 83: IDENTIFIED as 03 (UNKNOWN, conf=0.34)
track 87: IDENTIFIED as 04 (CANDIDATE, conf=0.73)
track 90: IDENTIFIED as 04 (CANDIDATE, conf=0.63)
track 92: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 93: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 99: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 104: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 108: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 110: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 113: IDENTIFIED as 04 (CANDIDATE, conf=0.74)
track 115: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 117: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 119: IDENTIFIED as 28 (CANDIDATE, conf=0.43)
track 125: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 126: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 128: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 130: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 132: IDENTIFIED as 23 (CANDIDATE, conf=0.79)
track 136: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 143: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 144: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 145: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 150: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 151: IDENTIFIED as 11 (UNKNOWN, conf=0.43)
track 154: IDENTIFIED as 11 (UNKNOWN, conf=0.27)
track 155: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 158: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 159: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 161: IDENTIFIED as 28 (CANDIDATE, conf=0.70)
track 162: IDENTIFIED as 11 (UNKNOWN, conf=0.38)
track 165: IDENTIFIED as 11 (UNKNOWN, conf=0.53)
track 169: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 171: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 180: IDENTIFIED as 29 (CONFIRMED, conf=0.66)
track 181: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 182: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 183: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 187: IDENTIFIED as 11 (UNKNOWN, conf=0.39)
track 188: IDENTIFIED as 29 (CONFIRMED, conf=0.82)
track 192: IDENTIFIED as 11 (UNKNOWN, conf=0.40)
track 193: IDENTIFIED as 08 (CANDIDATE, conf=0.62)
track 194: IDENTIFIED as 28 (LOCKED, conf=0.97)
track 196: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 197: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 201: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 204: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 207: IDENTIFIED as 11 (CANDIDATE, conf=0.37)
track 212: IDENTIFIED as 11 (UNKNOWN, conf=0.55)
track 217: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 223: IDENTIFIED as 05 (LOCKED, conf=0.86)
track 224: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 225: IDENTIFIED as 11 (CANDIDATE, conf=0.44)
track 228: IDENTIFIED as 28 (CANDIDATE, conf=0.52)
track 230: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 237: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 242: IDENTIFIED as 11 (UNKNOWN, conf=0.34)
track 244: IDENTIFIED as 11 (UNKNOWN, conf=0.56)
track 245: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 250: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 251: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 256: IDENTIFIED as 01 (UNKNOWN, conf=0.45)
track 259: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 261: IDENTIFIED as 11 (UNKNOWN, conf=0.54)
track 267: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 284: IDENTIFIED as 11 (UNKNOWN, conf=0.39)
track 285: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 286: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 287: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 290: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 291: IDENTIFIED as 11 (UNKNOWN, conf=0.30)
track 297: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 298: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 300: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 301: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 303: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 304: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 305: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 306: IDENTIFIED as 29 (CANDIDATE, conf=0.55)
track 308: NOT RECOGNIZED — best sim 0.40 -> 29 (threshold 0.45)
track 309: IDENTIFIED as 28 (CANDIDATE, conf=0.75)
track 315: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 325: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 329: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 332: IDENTIFIED as 28 (CANDIDATE, conf=0.80)
track 333: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 334: NOT RECOGNIZED — best sim 0.18 -> 25 (threshold 0.45)
track 335: IDENTIFIED as 28 (LOCKED, conf=0.79)
track 344: IDENTIFIED as 11 (UNKNOWN, conf=0.39)
track 346: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 349: IDENTIFIED as 03 (UNKNOWN, conf=0.66)
track 350: IDENTIFIED as 28 (CANDIDATE, conf=0.61)
track 353: IDENTIFIED as 29 (CANDIDATE, conf=0.46)
track 354: IDENTIFIED as 19 (UNKNOWN, conf=0.30)
track 355: NOT RECOGNIZED — best sim 0.36 -> 28 (threshold 0.45)
track 356: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 357: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 360: IDENTIFIED as 11 (UNKNOWN, conf=0.51)
track 362: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 363: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 365: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 367: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 370: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 372: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 374: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 376: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 377: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 380: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 381: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 383: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 386: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 391: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 396: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 400: IDENTIFIED as 11 (UNKNOWN, conf=0.36)
track 401: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 406: IDENTIFIED as 11 (UNKNOWN, conf=0.48)
track 407: IDENTIFIED as 11 (UNKNOWN, conf=0.27)
track 408: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 409: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 417: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 419: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 422: IDENTIFIED as 01 (UNKNOWN, conf=0.23)
track 423: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 427: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 428: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 430: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 435: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 436: IDENTIFIED as 11 (UNKNOWN, conf=0.30)
track 437: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 440: NOT RECOGNIZED — best sim 0.26 -> 04 (threshold 0.45)
track 449: IDENTIFIED as 11 (UNKNOWN, conf=0.25)
track 450: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 452: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 456: IDENTIFIED as 11 (UNKNOWN, conf=0.59)
track 457: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 459: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 460: IDENTIFIED as 11 (UNKNOWN, conf=0.27)
track 462: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 463: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 464: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 465: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 468: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 469: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 470: IDENTIFIED as 19 (UNKNOWN, conf=0.30)
