track 1: IDENTIFIED as 28 (LOCKED, conf=0.99)
track 2: IDENTIFIED as 28 (CANDIDATE, conf=0.62)
track 3: IDENTIFIED as 28 (CANDIDATE, conf=0.77)
track 4: IDENTIFIED as 28 (CANDIDATE, conf=0.55)
track 5: IDENTIFIED as 28 (CANDIDATE, conf=0.54)
track 6: IDENTIFIED as 28 (CANDIDATE, conf=0.64)
track 7: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 8: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 9: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 10: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 11: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 12: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 13: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 14: IDENTIFIED as 05 (UNKNOWN, conf=0.24)
track 15: IDENTIFIED as 05 (UNKNOWN, conf=0.59)
track 16: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 18: NOT RECOGNIZED — face never detected (1 looks)
track 23: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 24: IDENTIFIED as 19 (CANDIDATE, conf=0.43)
track 25: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 26: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 28: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 29: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 30: IDENTIFIED as 05 (CANDIDATE, conf=0.51)
track 32: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 36: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 37: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 38: IDENTIFIED as 28 (CANDIDATE, conf=0.67)
track 39: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 40: IDENTIFIED as 05 (CANDIDATE, conf=0.49)
track 42: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 43: IDENTIFIED as 28 (CANDIDATE, conf=0.54)
track 46: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 47: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 49: IDENTIFIED as 04 (UNKNOWN, conf=0.34)
track 50: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 51: IDENTIFIED as 05 (UNKNOWN, conf=0.36)
track 56: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 57: IDENTIFIED as 05 (LOCKED, conf=0.91)
track 58: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 59: IDENTIFIED as 05 (UNKNOWN, conf=0.27)
track 60: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 61: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 63: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 64: NOT RECOGNIZED — face never detected (3 looks)
track 67: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 69: IDENTIFIED as 11 (UNKNOWN, conf=0.30)
track 75: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 77: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 79: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 80: IDENTIFIED as 05 (UNKNOWN, conf=0.39)
track 81: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 84: IDENTIFIED as 15 (UNKNOWN, conf=0.45)
track 85: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 86: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 88: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 90: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 91: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 93: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 96: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 97: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 98: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 99: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.60)
track 100: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 102: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 105: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 111: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 117: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 118: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 119: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 120: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 125: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 128: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 129: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 130: IDENTIFIED as 11 (UNKNOWN, conf=0.30)
track 131: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 132: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 134: NOT RECOGNIZED — face never detected (1 looks)
track 137: IDENTIFIED as 05 (UNKNOWN, conf=0.36)
track 138: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 140: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 146: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 149: IDENTIFIED as 05 (UNKNOWN, conf=0.35)
track 153: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 154: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 156: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 159: IDENTIFIED as 05 (UNKNOWN, conf=0.34)
track 160: NOT RECOGNIZED — face never detected (33 looks)
track 161: IDENTIFIED as 28 (CANDIDATE, conf=0.53)
track 162: IDENTIFIED as 28 (LOCKED, conf=0.95)
track 164: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 166: IDENTIFIED as 05 (UNKNOWN, conf=0.51)
track 167: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 172: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 175: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 176: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 178: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 180: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 181: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 182: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 183: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 184: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 185: IDENTIFIED as 05 (UNKNOWN, conf=0.38)
track 186: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 188: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 189: IDENTIFIED as 05 (UNKNOWN, conf=0.42)
track 192: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 196: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 201: IDENTIFIED as 19 (UNKNOWN, conf=0.65)
track 202: IDENTIFIED as 28 (LOCKED, conf=0.92)
track 203: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 204: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 205: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 206: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 210: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 212: IDENTIFIED as 05 (CANDIDATE, conf=0.50)
track 214: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 215: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 217: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.66)
track 219: IDENTIFIED as 05 (UNKNOWN, conf=0.57)
track 220: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 222: NOT RECOGNIZED — face never detected (1 looks)
track 223: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 225: NOT RECOGNIZED — face never detected (7 looks)
track 228: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 229: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 230: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 231: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 233: NOT RECOGNIZED — best sim 0.29 -> 28 (threshold 0.45)
track 234: NOT RECOGNIZED — best sim 0.23 -> 03 (threshold 0.45)
track 235: IDENTIFIED as 05 (UNKNOWN, conf=0.42)
track 237: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 238: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 239: NOT RECOGNIZED — face never detected (49 looks)
track 240: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 241: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 243: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 244: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 245: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 248: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 249: IDENTIFIED as 05 (UNKNOWN, conf=0.66)
track 250: IDENTIFIED as 05 (CANDIDATE, conf=0.55)
track 251: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 253: NOT RECOGNIZED — best sim 0.24 -> 33 (threshold 0.45)
track 259: NOT RECOGNIZED — face never detected (3 looks)
track 261: IDENTIFIED as 19 (UNKNOWN, conf=0.38)
track 262: IDENTIFIED as 28 (UNKNOWN, conf=0.45)
track 263: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 264: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 265: IDENTIFIED as 05 (UNKNOWN, conf=0.42)
track 267: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 268: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 269: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 270: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 272: NOT RECOGNIZED — face never detected (10 looks)
track 273: IDENTIFIED as 05 (UNKNOWN, conf=0.33)
track 274: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 276: IDENTIFIED as 05 (UNKNOWN, conf=0.42)
track 278: IDENTIFIED as 05 (UNKNOWN, conf=0.39)
track 279: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 280: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 286: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 289: IDENTIFIED as 29 (CANDIDATE, conf=0.65)
track 290: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 292: IDENTIFIED as 29 (LOCKED, conf=0.89)
track 293: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 294: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 295: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 297: IDENTIFIED as 05 (UNKNOWN, conf=0.24)
track 298: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 300: IDENTIFIED as 05 (UNKNOWN, conf=0.42)
track 301: IDENTIFIED as 05 (UNKNOWN, conf=0.63)
track 303: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 304: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 306: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 307: IDENTIFIED as 05 (UNKNOWN, conf=0.42)
track 309: IDENTIFIED as 05 (UNKNOWN, conf=0.24)
track 310: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 311: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 312: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 314: IDENTIFIED as 05 (UNKNOWN, conf=0.61)
track 317: IDENTIFIED as 05 (UNKNOWN, conf=0.34)
track 321: IDENTIFIED as 10 (CANDIDATE, conf=0.74)
track 322: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 323: IDENTIFIED as 29 (CANDIDATE, conf=0.63)
track 324: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 325: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 326: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 330: IDENTIFIED as 05 (UNKNOWN, conf=0.39)
track 334: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 335: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 340: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 342: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 344: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 345: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 346: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 347: IDENTIFIED as 05 (UNKNOWN, conf=0.61)
track 348: IDENTIFIED as 29 (CANDIDATE, conf=0.66)
track 349: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 351: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 353: IDENTIFIED as 16 (LOCKED, conf=0.81)
track 354: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 356: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 357: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 359: IDENTIFIED as 05 (UNKNOWN, conf=0.61)
track 360: IDENTIFIED as 11 (UNKNOWN, conf=0.23)
track 361: IDENTIFIED as 28 (LOCKED, conf=0.91)
track 364: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
